row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-28 15:04:1_vID-2136,2024-06-28 15:04:14,2024-06-28 15:04:15.823529472,2024-06-28 15:04:17,00:00:16.367595,00:00:15.017000,00:00:17.712000,199081,,,,,,,,,,,,warning,danger,-2136,SmallSedanYellow2(Clone)9,1075.9313823529412,16.175711838235294,660.0404441176471,1070.02,16.010701544117648,661.6674904411765,20.615040588235296,17.10443,24.12447,5.983609632352941,4.396602,9.255633,0.009437520920588235,0.0003648072,0.04402334
2024-06-28 15:04:1_vID-3300,2024-06-28 15:04:13,2024-06-28 15:04:13.000000000,2024-06-28 15:04:13,00:00:13.574249,00:00:13.288000,00:00:13.767000,199081,,,,,,,,,,,,warning,warning,-3300,SmallSedanPurple(Clone)15,1075.8664,16.0306565,666.69459,1070.02,16.032649,661.66766,26.668846000000002,25.0,28.33889,6.23857995,5.399479,7.211007,1.7552975,0.0,4.314773
2024-06-28 15:04:1_vID-390,2024-06-28 15:04:16,2024-06-28 15:04:16.933333504,2024-06-28 15:04:18,00:00:17.484291,00:00:16.293000,00:00:18.667000,199081,,,,,,,,,,,,warning,danger,-390,OriginalSmallSedan(Clone)0,1075.9303333333332,16.172946333333336,660.1648516666667,1070.02,16.01064733333333,661.6674733333333,23.363714333333334,20.32804,25.99995,5.963080408333334,4.396565,9.240347,0.0019065142514166666,8.236697e-05,0.008776159
2024-06-28 15:04:1_vID-584,2024-06-28 15:04:13,2024-06-28 15:04:14.392405248,2024-06-28 15:04:16,00:00:14.964120,00:00:13.288000,00:00:16.533000,199081,,,,,,,,,,,,warning,danger,-584,SmallSedanBlue2(Clone)1,1075.9306075949366,16.173392974683544,660.1256746835443,1070.02,16.0137282278481,661.6673702531646,17.080159430379748,13.0,21.1608,5.8869301329113926,4.396291,8.823071,0.2880264717829114,0.0,4.314773
2024-06-28 15:04:3_vID-2912,2024-06-28 15:04:36,2024-06-28 15:04:36.186440704,2024-06-28 15:04:37,00:00:36.716983,00:00:36.139000,00:00:37.307000,199081,,,,,,,,,,,,warning,danger,-2912,SmallSedanGreen2(Clone)13,1076.0404237288135,16.45588372881356,648.9393694915254,1070.1751016949152,16.292531186440677,650.2805762711865,36.942715084745764,36.75336,37.00013,5.898797118644067,4.352545,9.312452,10.846049661016949,10.47371,11.19284
2024-06-28 15:04:4_vID-1554,2024-06-28 15:04:42,2024-06-28 15:04:42.456521728,2024-06-28 15:04:43,00:00:43.025565,00:00:42.586000,00:00:43.471000,199081,,,,,,,,,,,,warning,danger,-1554,SmallSedanRed(Clone)6,1076.239652173913,17.096899782608695,628.6487043478261,1070.5388695652175,16.934686956521737,629.8512782608695,49.721143695652174,48.44117,50.00022,5.787032043478262,4.185894,9.186476,12.546653695652173,12.44312,12.64515
2024-06-28 15:04:5_vID-1360,2024-06-28 15:04:58,2024-06-28 15:04:58.723076864,2024-06-28 15:04:59,00:00:59.379922,00:00:58.737000,00:01:00.026000,199081,,,,,,,,,,,,warning,danger,-1360,SmallSedanPurple(Clone)5,1072.8788615384617,17.615195692307694,578.7459738461538,1071.5004923076924,17.59234476923077,583.0055030769231,49.867708923076925,49.54,50.00014,5.007474138461538,2.783274,9.307878,2.732901738461538,1.251897,3.77187
2024-06-28 15:04:5_vID-3688,2024-06-28 15:04:58,2024-06-28 15:04:58.604938240,2024-06-28 15:04:59,00:00:59.259641,00:00:58.466000,00:01:00.068000,199081,,,,,,,,,,,,warning,danger,-3688,SmallSedanWhite(Clone)17,1072.4202098765431,17.71661234567901,590.3608864197531,1071.528913580247,17.592433950617284,582.9483913580247,10.99502435802469,3.113971,20.0,5.970212407407407,3.784976,9.501355,2.4373859382716048,0.546653,3.77187
2024-06-28 15:04:5_vID-584,2024-06-28 15:04:55,2024-06-28 15:04:55.844827648,2024-06-28 15:04:56,00:00:56.464482,00:00:55.909000,00:00:57.022000,199081,,,,,,,,,,,,warning,danger,-584,SmallSedanBlue2(Clone)1,1071.9828620689655,17.61519568965517,578.7506051724138,1071.1132413793102,17.59244931034483,583.9557482758621,49.875315344827584,49.53334,50.00006,5.4339425172413796,3.576204,9.274072,4.754596103448276,4.033743,4.998262
2024-06-28 15:05:0_vID-3106,2024-06-28 15:05:09,2024-06-28 15:05:09.000000000,2024-06-28 15:05:09,00:01:09.804499,00:01:09.550000,00:01:10.065000,199081,,,,,,,,,,,,warning,danger,-3106,SmallSedanGrey(Clone)14,1081.7051153846153,17.616251538461537,582.7011230769231,1072.3428846153847,17.59295653846154,580.1273961538461,18.321908846153846,12.58787,20.0,8.223120192307693,7.077203,9.571833,7.152661346153847,6.429955,7.823426
