row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,vehicle_position_x_min,vehicle_position_y_min,vehicle_position_z_min,vehicle_position_x_max,vehicle_position_y_max,vehicle_position_z_max,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,bike_position_x_min,bike_position_y_min,bike_position_z_min,bike_position_x_max,bike_position_y_max,bike_position_z_max,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-27 19:31:0_vID-2136,2024-06-27 19:31:05,2024-06-27 19:31:05.821052672,2024-06-27 19:31:07,00:00:18.605210,00:00:17.663000,00:00:19.544000,702130,,,,,,,,,,,,danger,danger,-2136,SmallSedanYellow2(Clone)9,1071.8953999999999,16.099107894736843,663.6978894736842,1071.81,15.9315,653.504,1071.995,16.32803,672.4351,1070.02,16.010152315789476,661.6671094736841,1070.02,15.98223,661.6642,1070.02,16.01726,661.6691,36.16344221052631,27.70134,44.62689,4.08879746,0.402054,9.417741,0.1498867151263158,0.001059957,0.9356209
2024-06-27 19:31:0_vID-584,2024-06-27 19:31:08,2024-06-27 19:31:08.463768064,2024-06-27 19:31:09,00:00:21.223333,00:00:20.560000,00:00:21.888000,702130,,,,,,,,,,,,warning,danger,-584,SmallSedanBlue2(Clone)1,1075.9296811594204,16.172034782608694,660.2093391304348,1075.852,16.00523,652.6964,1076.003,16.35082,668.1105,1070.02,16.010664057971017,661.6674739130435,1070.02,16.01058,661.6673,1070.02,16.01073,661.6675,40.75674260869565,37.63074,43.88256,5.953544014492754,4.396524,9.28857,0.0022502619173913043,0.0002542472,0.006391736
2024-06-27 19:31:1_vID-1360,2024-06-27 19:31:10,2024-06-27 19:31:10.616438272,2024-06-27 19:31:11,00:00:23.445411,00:00:22.746000,00:00:24.170000,702130,,,,,,,,,,,,danger,danger,-1360,SmallSedanPurple(Clone)5,1071.9076575342467,16.12671191780822,662.4127068493151,1071.81,15.93269,652.4397,1072.006,16.35637,672.3911,1070.0245616438358,16.019452739726027,661.2739808219178,1070.021,16.01143,660.5756,1070.029,16.03448,661.6021,49.87911438356164,49.55346,50.00031,3.8799244178082195,0.3978373,9.436753,2.534762297945205,0.03008736,5.191795
2024-06-27 19:31:1_vID-1748,2024-06-27 19:31:13,2024-06-27 19:31:14.000000000,2024-06-27 19:31:15,00:00:26.776244,00:00:25.851000,00:00:27.730000,702130,,,,,,,,,,,,warning,danger,-1748,SmallSedanWhite(Clone)7,1075.9920106382979,16.32761510638298,653.6592127659575,1075.942,16.19872,648.5045,1076.043,16.46524,658.8151,1070.0124787234042,16.167865425531915,654.9858680851064,1069.974,16.11203,652.5302,1070.047,16.23023,657.2757,19.959331489361702,19.8667,20.00009,5.926734138297872,4.471619,9.165786,9.185604478723404,8.202052,10.09137
2024-06-27 19:33:0_vID-972,2024-06-27 19:33:06,2024-06-27 19:33:06.306451456,2024-06-27 19:33:07,00:02:19.054016,00:02:18.449000,00:02:19.648000,702130,,,,,,,,,,,,danger,danger,-972,SmallSedanGreen2(Clone)3,1071.9154354838709,16.56825064516129,884.8019129032258,1071.892,16.55033,878.9711,1071.926,16.57897,890.1516,1069.1367903225807,16.44192,883.5498370967741,1068.999,16.42944,879.4435,1069.324,16.44818,886.9813,32.93023919354839,28.59904,37.26134,4.399139564516129,1.329421,9.517626,22.33794564516129,13.10322,25.36651
2024-06-27 19:33:2_vID-1166,2024-06-27 19:33:29,2024-06-27 19:33:29.000000256,2024-06-27 19:33:29,00:02:42.208000,00:02:42.148000,00:02:42.259000,702130,,,,,,,,,,,,warning,danger,-1166,SmallSedanGrey(Clone)4,1074.5336666666667,7.7016729999999995,1035.2923333333333,1074.529,7.669027,1035.017,1074.538,7.734355,1035.568,1070.7340000000002,8.646993166666666,1026.1238333333333,1070.709,8.576003,1025.536,1070.765,8.722077,1026.703,19.999385,19.99924,19.99952,8.471710333333334,7.664891,9.289167,42.689715,41.5871,43.81392
2024-06-27 19:33:3_vID-1166,2024-06-27 19:33:30,2024-06-27 19:33:30.107142656,2024-06-27 19:33:31,00:02:42.827500,00:02:42.287000,00:02:43.373000,702130,,,,,,,,,,,,danger,warning,-1166,SmallSedanGrey(Clone)4,1074.4743035714287,8.100275232142858,1031.8741607142858,1074.422,7.74743,1028.842,1074.527,8.455179,1034.906,1071.449607142857,7.928924035714286,1032.331875,1070.781,7.380962,1026.929,1072.061,8.550066,1037.017,19.979205714285715,19.8668,20.00044,3.8894620892857144,1.555684,7.349623,33.64710482142857,28.23195,41.17137
2024-06-27 19:33:5_vID-1942,2024-06-27 19:33:56,2024-06-27 19:33:57.014705920,2024-06-27 19:33:58,00:03:09.790294,00:03:09.104000,00:03:10.468000,702130,,,,,,,,,,,,warning,danger,-1942,SmallSedanYellow1(Clone)8,968.8049926470587,2.227408911764706,1097.7220735294118,962.6126,2.138848,1096.68,974.6396,2.26705,1100.115,970.978580882353,2.1119685588235297,1093.619705882353,968.9386,2.109422,1093.577,972.9954,2.118257,1093.658,34.48650470588235,24.70718,39.45342,5.001677661764706,2.365166,9.327674,10.904959705882352,10.53799,11.03119
2024-06-27 19:33:5_vID-390,2024-06-27 19:33:55,2024-06-27 19:33:55.447761152,2024-06-27 19:33:56,00:03:08.217641,00:03:07.572000,00:03:08.866000,702130,,,,,,,,,,,,danger,danger,-390,OriginalSmallSedan(Clone)0,975.414028358209,2.2611848059701494,1096.4910447761192,969.4706,2.228547,1096.291,981.8932,2.327956,1096.649,976.2801432835821,2.1374551343283583,1093.4721791044776,973.6876,2.120854,1093.258,980.0017,2.172526,1093.598,33.79500552238806,29.30572,38.2836,4.389150492537313,1.47762,9.563849,17.39313567164179,10.24492,27.63694
2024-06-27 19:33:5_vID-584,2024-06-27 19:33:56,2024-06-27 19:33:56.435897344,2024-06-27 19:33:57,00:03:09.188833,00:03:08.435000,00:03:09.966000,702130,,,,,,,,,,,,danger,danger,-584,SmallSedanBlue2(Clone)1,971.2200846153846,2.2424647692307693,1096.5984358974358,964.6435,2.206079,1096.4,978.5234,2.276072,1096.711,972.7712935897437,2.1173885897435896,1093.5955641025641,970.463,2.111101,1093.544,975.0865,2.128736,1093.655,32.34557435897436,27.10713,37.58525,4.439623999999999,1.503385,9.412501,10.854787051282052,10.24492,14.00211
2024-06-27 19:34:1_vID-1360,2024-06-27 19:34:11,2024-06-27 19:34:11.333333248,2024-06-27 19:34:12,00:03:24.213600,00:03:24.077000,00:03:24.369000,702130,,,,,,,,,,,,warning,danger,-1360,SmallSedanPurple(Clone)5,936.8978599999999,2.324953333333333,1064.3441333333333,936.313,2.303778,1063.345,937.4785,2.337962,1065.354,946.1247266666667,2.2169467333333333,1063.9632,946.1142,2.200291,1063.679,946.1445,2.235342,1064.248,29.876269999999998,29.45352,30.00012,7.7708189333333335,7.297285,8.373431,7.607719733333334,7.54876,7.662831
2024-06-27 19:35:0_vID-2136,2024-06-27 19:35:00,2024-06-27 19:35:01.171052544,2024-06-27 19:35:02,00:04:13.922368,00:04:13.187000,00:04:14.691000,702130,,,,,,,,,,,,warning,danger,-2136,SmallSedanYellow2(Clone)9,1010.008502631579,3.742727592105263,1099.442855263158,999.6497,3.034814,1099.168,1020.363,4.423731,1099.732,1011.1465526315791,3.7260764210526314,1092.7069342105262,1007.515,3.46769,1092.594,1014.668,3.966052,1092.742,49.85320078947368,49.39925,50.00116,6.331973276315789,5.161544,9.031154,17.22754710526316,16.48517,18.06175
2024-06-27 19:35:1_vID-390,2024-06-27 19:35:15,2024-06-27 19:35:15.150943488,2024-06-27 19:35:16,00:04:27.911358,00:04:27.383000,00:04:28.429000,702130,,,,,,,,,,,,warning,danger,-390,OriginalSmallSedan(Clone)0,1079.2226981132076,5.085089037735849,1074.863396226415,1079.145,5.04988,1070.388,1079.3,5.141371,1079.338,1073.826358490566,4.948751415094339,1076.2235094339621,1073.593,4.933101,1072.837,1073.885,4.976104,1079.579,30.948927735849054,30.79334,31.00014,5.580432622641509,3.865819,9.132725,23.42167433962264,22.99422,23.71477
2024-06-27 19:35:3_vID-1360,2024-06-27 19:35:36,2024-06-27 19:35:36.954545664,2024-06-27 19:35:37,00:04:49.662545,00:04:49.235000,00:04:50.113000,702130,,,,,,,,,,,,warning,danger,-1360,SmallSedanPurple(Clone)5,1077.9342954545455,11.664222727272728,1000.6879704545455,1077.831,11.02005,994.769,1078.037,12.29775,1006.607,1071.0828863636364,11.400924318181819,1002.1628863636364,1071.051,11.33343,1001.533,1071.116,11.46888,1002.789,49.86350863636364,49.54112,50.00138,6.45577740909091,5.381997,9.004584,5.296868522727273,5.245609,5.342178
